Product ID,Default Title,Gemini 2.5 Flash Title,Score,What Works,Issues Identified,Missing Attributes,Suggested Optimized Title,Char Length
7564621152414,Nicci One Piece - Safari,"Full Bums Swimwear Women's Nicci One Piece Swimsuit Safari V-Neck Slim Fit Nylon Spandex",7,"Retains print, good fit details.","Appends raw materials; keyword dump.",High-waisted,"Full Bums Swimwear Women's Nicci V-Neck One Piece Swimsuit - Safari",70
7526330007710,Tori Bikini Top - Black,"Full Bums Swimwear Women's Tori Bandeau Strapless Bikini Top Polyester Spandex Removable Padding",6,"Captures 'Bandeau' and 'Strapless'.","Drops color. Wastes space on materials.",Black,"Full Bums Swimwear Women's Tori Bandeau Strapless Bikini Top - Black",70
8040712568990,Karolina 2.0 Bikini Top - Black Rib,"Full Bums Swimwear Women's Karolina 2.0 Bikini Top Ribbed Removable Padding Crop",8,"Integration of 'Ribbed'.","Drops specific color. 'Crop' awkwardly placed.",Black,"Full Bums Swimwear Women's Karolina 2.0 Ribbed Crop Bikini Top - Black",73
8049908416670,Rachael Bikini Bottom - Mykonos,"Full Bums Swimwear Women's Rachael Bikini Bottom High-waisted High-cut Regular Fit Nylon Full Bum Coverage",6,"Captures 'High-waisted' and 'High-cut'.","Drops print name ('Mykonos'). Adds Nylon.",Mykonos,"Full Bums Swimwear Women's Rachael High-Waisted Bikini Bottom - Mykonos",73
7337779986590,Indi Bikini Top (Black),"Full Bums Swimwear Women's Indi Bikini Top Slim Fit Crop One-Shoulder Polyester Spandex Removable Padding",6,"Strong structural capture.","Missing color. 'Polyester Spandex' included.",Black,"Full Bums Swimwear Women's Indi One-Shoulder Crop Bikini Top - Black",70
7306606051486,Eden Bikini Top - Hot Pink,"Full Bums Swimwear Women's Eden Bikini Top Crop Sweetheart Nylon Removable Padding Adjustable Straps",6,"Captures 'Sweetheart' and 'Crop'.","Misses color ('Hot Pink'). Includes 'Nylon'.",Hot Pink,"Full Bums Swimwear Women's Eden Sweetheart Crop Bikini Top - Hot Pink",70
7526330269854,Tori Bikini Bottom - Orchid,"Full Bums Swimwear Women's Tori Bikini Bottom High-Cut High-Waisted Polyester Spandex",5,"Gets 'High-Cut' and 'High-Waisted'.","Misses color ('Orchid'). Wastes space on Poly/Spandex.",Orchid,"Full Bums Swimwear Women's Tori High-Waisted Bikini Bottom - Orchid",68
7722531192990,Gilly One Piece - Red,"Full Bums Swimwear Women's Gilly One Piece High-Waisted Halter Knee-Length Polyester Spandex Back Tie Closure",7,"Details closure and neckline ('Halter', 'Back Tie').","Misses color ('Red'). 'Knee-Length' confusing for swim.",Red,"Full Bums Swimwear Women's Gilly High-Waisted Halter One Piece - Red",69
7564583567518,Jen Tankini Top - Safari,"Full Bums Swimwear Women's Jen Tankini Top Safari Strapless Nylon Built-in Padding",8,"Retains print, functional features.","'Nylon' interrupts flow.",Adjustable straps,"Full Bums Swimwear Women's Jen Strapless Tankini Top - Safari",63
7306606379166,Eden Bikini Bottom - Metal,"Full Bums Swimwear Women's Eden Bikini Bottom High-waisted High-cut Nylon Shirred",6,"Captures 'Shirred' and 'High-waisted'.","Misses color ('Metal'). Includes 'Nylon'.",Metal,"Full Bums Swimwear Women's Eden High-Waisted Shirred Bikini Bottom - Metal",76
8025043763358,Beach Towel - Mykonos,"Full Bums Swimwear Women's Mykonos Beach Towel Sand Free Quick Drying Waffle Fabric",9,"Keeps print, highlights USPs.","'Women's' restricts unisex accessory.",Drawstring bag,"Full Bums Swimwear Mykonos Beach Towel - Sand Free Quick Dry",60
6993030447262,Jen Tankini Bottom - Black,"Full Bums Swimwear Women's Jen Tankini Bottom High-Waisted Slim Fit Knee-Length Spandex Ruching Black",7,"Actually keeps color ('Black'). Details 'Ruching'.","Knee-length is odd. 'Spandex' is unnecessary.",Black (Better placed),"Full Bums Swimwear Women's Jen High-Waisted Ruched Tankini Bottom - Black",75
7334542966942,Tessa Bikini Top (Aqua Blue),"Full Bums Swimwear Women's Tessa Bikini Top Crop Spaghetti Polyester Spandex Adjustable, Removable Padding",5,"Highlights 'Spaghetti' and 'Crop'.","Misses color ('Aqua Blue'). Poly/Spandex bloat.",Aqua Blue,"Full Bums Swimwear Women's Tessa Spaghetti Strap Bikini Top - Aqua Blue",73
8049901371550,Jen Tankini Top - Mykonos,"Full Bums Swimwear Women's Jen Tankini Top Slim Fit Strapless Nylon Adjustable Straps",6,"Captures 'Strapless' and 'Adjustable Straps'.","Misses color/print ('Mykonos'). Includes 'Nylon'.",Mykonos,"Full Bums Swimwear Women's Jen Strapless Tankini Top - Mykonos",64
8027104968862,Kat Bikini Bottom - X Erin Reinboth Art,"Full Bums Swimwear Women's Kat Bikini Bottom High-Waisted Synthetic Blend Tie-Side",5,"Identifies 'Tie-Side'.","Deletes artist name. 'Synthetic Blend' added.",Erin Reinboth Art,Full Bums Swimwear Women's Kat High-Waisted Tie-Side Bikini Bottom x Erin Reinboth Art,89
7619896836254,Karolina Bikini Bottom - Sage Green,"Full Bums Swimwear women's Karolina Bikini Bottom High-Waisted High-Cut Polyester Spandex",5,"Gets 'High-Waisted' and 'High-Cut'.","Misses color ('Sage Green'). Poly/Spandex bloat.",Sage Green,"Full Bums Swimwear Women's Karolina High-Waisted Bikini Bottom - Sage Green",76
8049905434782,Karolina One Piece -Mykonos,"Full Bums Swimwear women's Karolina One Piece Slim Fit High-Waisted Flutter Sleeve",6,"Captures 'Flutter Sleeve' and 'High-Waisted'.","Misses color/print ('Mykonos').",Mykonos,"Full Bums Swimwear Women's Karolina High-Waisted Flutter Sleeve One Piece - Mykonos",84
7333909856414,Tessa Bikini Bottom (Pink/Orange),"Full Bums Swimwear Women's Tessa Bikini Bottom High-Waisted Hipster Full Coverage Polyester Spandex Side Knot Detail",6,"Captures 'Hipster', 'Side Knot'.","Misses color ('Pink/Orange'). Poly/Spandex bloat.",Pink/Orange,"Full Bums Swimwear Women's Tessa High-Waisted Hipster Bikini Bottom - Pink/Orange",83
7526329745566,Tori Bikini Top - Orchid,"Full Bums Swimwear Women's Tori Bikini Top Bandeau Style Polyester Spandex Removable Padding",5,"Gets 'Bandeau Style'.","Misses color ('Orchid'). Poly/Spandex bloat.",Orchid,"Full Bums Swimwear Women's Tori Bandeau Bikini Top - Orchid",61
6993000562846,Eden Bikini Bottom - Black,"Full Bums Swimwear Women's Eden Bikini Bottom High-Waisted Slim Fit Textured Fabric",6,"Captures 'Textured Fabric' and 'High-Waisted'.","Misses color ('Black').",Black,"Full Bums Swimwear Women's Eden High-Waisted Textured Bikini Bottom - Black",76
7334804455582,Kat Bikini Top (Aqua Blue),"Full Bums Swimwear Women's Kat Bikini Top Synthetic Plunge Neckline Spaghetti Strap",5,"Captures 'Plunge Neckline'.","Includes 'Synthetic' (terrible for sales). Misses 'Aqua Blue'.",Aqua Blue,"Full Bums Swimwear Women's Kat Plunge Neckline Bikini Top - Aqua Blue",71
7337773826206,Emma Bikini Bottom (Orange),"Full Bums Swimwear Women's Emma Bikini Bottom High-Waisted Polyester Spandex Tie-Front Closure",6,"Captures 'Tie-Front Closure'.","Misses color ('Orange'). Poly/Spandex bloat.",Orange,"Full Bums Swimwear Women's Emma High-Waisted Tie-Front Bikini Bottom - Orange",79
7525790023838,Elle Sarong - Jungle Weeds,"Full Bums Swimwear Women's Elle Sarong Jungle Weeds Viscose Digital Printing",7,"Keeps print ('Jungle Weeds').","Adds weird 'Digital Printing' and 'Viscose' which clutters title.","Digital Printing (Remove)","Full Bums Swimwear Women's Elle Sarong - Jungle Weeds",54